# [HASH] 0008207:6464799fb4270f062abcdc296c3b501f9e4e889437825ffcf989b6ff85a92060fb1e3593b4c3c2c870c78646e17cf7b55c08379b5b3e4fab52697988c9fd364b                                                                                                                                                                                                                                                                                                                                                                               
# [VV] SN:5WNGC_0012 HW:1.02pro FW:1.34c
# [PILOTE] Jofresa
# [CALIB] 1.29
t;GNSS_fix;GNSS_time;GNSS_lat;GNSS_lon;GNSS_alt;GNSS_speed;GNSS_velD;GNSS_head;compass_head;pitch;roll;G_force;vario;DP;T_sensor;A0_cor_DP;A1_cor_DP;P_stat;air_T;air_RH;wind_origin;wind_vel
9.41;0;2021-03-07 01:00:09.20;0.000000;0.000000;-17.00;0.00;0.00;0;291;-70;-41;0.97;0.00;-0.3;21.4;0.0;0.00;86444;22.20;42.66;0;0.0
9.61;0;2021-03-07 01:00:09.40;0.000000;0.000000;-17.00;0.00;0.00;0;82;-70;-41;1.03;-2.22;0.8;21.4;0.0;0.00;86445;22.15;39.97;0;0.0
9.80;0;2021-03-07 01:00:09.60;0.000000;0.000000;-17.00;0.00;0.00;0;93;-29;-23;1.17;-1.73;0.9;21.4;0.0;0.00;86446;22.16;39.48;0;0.0
10.00;0;2021-03-07 01:00:09.80;0.000000;0.000000;-17.00;0.00;0.00;0;94;0;16;1.08;-1.20;0.7;21.4;0.0;0.00;86446;22.16;39.32;0;0.0
10.23;0;2021-03-07 01:00:10.00;0.000000;0.000000;-17.00;0.00;0.00;0;59;19;32;0.95;-0.90;1.0;21.4;0.0;0.00;86446;22.17;39.20;0;0.0
10.40;0;2021-03-07 01:00:10.20;0.000000;0.000000;-17.00;0.00;0.00;0;61;14;38;0.99;-0.65;0.6;21.4;0.0;0.00;86446;22.18;39.14;0;0.0
10.62;0;2021-03-07 01:00:10.40;0.000000;0.000000;-17.00;0.00;0.00;0;39;16;44;1.20;-0.43;0.3;21.4;0.0;0.00;86446;22.18;39.08;0;0.0
10.82;0;2021-03-07 01:00:10.60;0.000000;0.000000;-17.00;0.00;0.00;0;46;5;50;0.79;-0.23;0.1;21.4;0.0;0.00;86447;22.19;39.04;0;0.0
11.01;0;2021-03-07 01:00:10.80;0.000000;0.000000;-17.00;0.00;0.00;0;28;4;44;1.27;-0.46;0.8;21.4;0.0;0.00;86447;22.20;39.01;0;0.0
11.23;0;2021-03-07 01:00:11.00;0.000000;0.000000;-17.00;0.00;0.00;0;345;21;49;1.05;0.04;0.4;21.4;0.0;0.00;86447;22.20;38.99;0;0.0
11.42;0;2021-03-11 10:04:55.42;0.000000;0.000000;-17.00;0.00;0.00;0;330;4;65;0.99;0.00;0.2;21.4;0.0;0.00;86447;22.20;38.99;0;0.0
11.59;0;2021-03-11 10:04:55.60;0.000000;0.000000;-17.00;0.00;0.00;0;319;-4;77;1.02;0.02;0.4;21.4;0.0;0.00;86448;22.21;39.00;0;0.0
11.79;0;2021-03-11 10:04:55.80;0.000000;0.000000;-17.00;0.00;0.00;0;297;-1;81;1.12;0.12;0.6;21.4;0.0;0.00;86447;22.21;39.05;0;0.0
12.01;0;2021-03-11 10:04:56.00;0.000000;0.000000;-17.00;0.00;0.00;0;252;12;78;1.10;0.07;0.7;21.4;0.0;0.00;86447;22.22;39.09;0;0.0
12.19;0;2021-03-11 10:04:56.20;0.000000;0.000000;-17.00;0.00;0.00;0;224;21;72;0.95;-0.03;1.1;21.4;0.0;0.00;86447;22.22;39.14;0;0.0
12.39;0;2021-03-11 10:04:56.40;0.000000;0.000000;-17.00;0.00;0.00;0;203;35;74;0.97;-0.03;0.4;21.4;0.0;0.00;86447;22.22;39.22;0;0.0
12.59;0;2021-03-11 10:04:56.60;0.000000;0.000000;-17.00;0.00;0.00;0;234;36;68;1.30;0.32;-0.4;21.4;0.0;0.00;86447;22.23;39.28;0;0.0
12.78;0;2021-03-11 10:04:56.80;0.000000;0.000000;-17.00;0.00;0.00;0;200;32;70;1.02;-0.19;0.4;21.4;0.0;0.00;86447;22.24;39.35;0;0.0
13.00;0;2021-03-11 10:04:57.00;0.000000;0.000000;-17.00;0.00;0.00;0;139;38;62;1.01;-0.06;1.3;21.4;0.0;0.00;86447;22.23;39.43;0;0.0
13.20;0;2021-03-11 10:04:57.20;0.000000;0.000000;-17.00;0.00;0.00;0;129;54;35;0.97;-0.07;0.8;21.4;0.0;0.00;86447;22.24;39.52;0;0.0
13.40;0;2021-03-11 10:04:57.40;0.000000;0.000000;-17.00;0.00;0.00;0;152;48;28;1.10;0.11;0.7;21.4;0.0;0.00;86447;22.24;39.61;0;0.0
13.60;0;2021-03-11 10:04:57.60;0.000000;0.000000;-17.00;0.00;0.00;0;141;45;40;1.05;0.10;0.3;21.4;0.0;0.00;86446;22.25;39.73;0;0.0
13.79;0;2021-03-11 10:04:57.80;0.000000;0.000000;-17.00;0.00;0.00;0;130;48;40;0.93;0.00;0.1;21.4;0.0;0.00;86446;22.24;39.82;0;0.0
14.01;0;2021-03-11 10:04:58.00;0.000000;0.000000;-17.00;0.00;0.00;0;132;47;34;0.98;0.05;0.4;21.4;0.0;0.00;86446;22.25;39.94;0;0.0
14.19;0;2021-03-11 10:04:58.20;0.000000;0.000000;-17.00;0.00;0.00;0;157;41;37;0.97;0.00;0.4;21.4;0.0;0.00;86446;22.26;40.03;0;0.0
14.39;0;2021-03-11 10:04:58.40;0.000000;0.000000;-17.00;0.00;0.00;0;185;41;39;1.07;0.01;0.5;21.4;0.0;0.00;86446;22.26;40.14;0;0.0
14.61;0;2021-03-11 10:04:58.60;0.000000;0.000000;-17.00;0.00;0.00;0;182;56;49;1.03;0.11;0.5;21.4;0.0;0.00;86446;22.26;40.23;0;0.0
14.79;0;2021-03-11 10:04:58.80;0.000000;0.000000;-17.00;0.00;0.00;0;178;57;52;1.00;0.09;0.5;21.6;0.0;0.00;86446;22.26;40.32;0;0.0
15.00;0;2021-03-11 10:04:59.00;0.000000;0.000000;-17.00;0.00;0.00;0;160;57;51;1.00;0.11;0.3;21.6;0.0;0.00;86446;22.26;40.35;0;0.0
15.18;0;2021-03-11 10:04:59.20;0.000000;0.000000;-17.00;0.00;0.00;0;138;54;46;1.04;0.10;0.2;21.6;0.0;0.00;86446;22.26;40.28;0;0.0
15.39;0;2021-03-11 10:04:59.40;0.000000;0.000000;-17.00;0.00;0.00;0;44;47;41;0.92;-0.00;0.4;21.6;0.0;0.00;86446;22.27;40.16;0;0.0
15.58;0;2021-03-11 10:04:59.60;0.000000;0.000000;-17.00;0.00;0.00;0;21;29;39;1.06;-0.00;0.7;21.6;0.0;0.00;86445;22.28;40.01;0;0.0
15.80;0;2021-03-11 10:04:59.80;0.000000;0.000000;-17.00;0.00;0.00;0;19;4;39;1.06;0.13;2.0;21.6;0.0;0.00;86446;22.27;39.86;0;0.0
16.00;0;2021-03-11 10:05:00.00;0.000000;0.000000;-17.00;0.00;0.00;0;19;-16;43;1.04;0.07;1.9;21.6;0.0;0.00;86446;22.27;39.69;0;0.0
16.21;0;2021-03-11 10:05:00.20;0.000000;0.000000;-17.00;0.00;0.00;0;21;-17;43;0.99;0.01;1.7;21.6;0.0;0.00;86446;22.27;39.47;0;0.0
16.40;0;2021-03-11 10:05:00.40;0.000000;0.000000;-17.00;0.00;0.00;0;22;-9;33;1.01;0.03;1.0;21.6;0.0;0.00;86446;22.28;39.23;0;0.0
16.60;0;2021-03-11 10:05:00.60;0.000000;0.000000;-17.00;0.00;0.00;0;28;-29;22;0.90;0.02;0.8;21.6;0.0;0.00;86446;22.28;39.01;0;0.0
16.79;0;2021-03-11 10:05:00.80;0.000000;0.000000;-17.00;0.00;0.00;0;26;-54;11;1.09;0.12;1.1;21.6;0.0;0.00;86446;22.29;38.86;0;0.0
17.00;0;2021-03-11 10:05:01.00;0.000000;0.000000;-17.00;0.00;0.00;0;29;-57;22;1.01;0.10;0.6;21.6;0.0;0.00;86447;22.29;38.75;0;0.0
17.20;0;2021-03-11 10:05:01.20;0.000000;0.000000;-17.00;0.00;0.00;0;46;-62;14;1.11;-0.01;1.1;21.6;0.0;0.00;86446;22.30;38.69;0;0.0
17.40;0;2021-03-11 10:05:01.40;0.000000;0.000000;-17.00;0.00;0.00;0;54;-61;3;0.98;0.03;0.3;21.6;0.0;0.00;86447;22.30;38.65;0;0.0
17.60;0;2021-03-11 10:05:01.60;0.000000;0.000000;-17.00;0.00;0.00;0;83;-52;-10;0.94;-0.07;-0.0;21.6;0.0;0.00;86446;22.31;38.63;0;0.0
17.80;0;2021-03-11 10:05:01.80;0.000000;0.000000;-17.00;0.00;0.00;0;86;-50;-47;0.97;-0.29;0.8;21.6;0.0;0.00;86446;22.31;38.63;0;0.0
18.00;0;2021-03-11 10:05:02.00;0.000000;0.000000;-17.00;0.00;0.00;0;85;-47;-74;0.89;-0.43;0.9;21.6;0.0;0.00;86445;22.32;38.65;0;0.0
18.20;0;2021-03-11 10:05:02.20;0.000000;0.000000;-17.00;0.00;0.00;0;63;-63;-62;0.93;0.02;0.4;21.6;0.0;0.00;86446;22.32;38.70;0;0.0
18.39;0;2021-03-11 10:05:02.40;0.000000;0.000000;-17.00;0.00;0.00;0;63;-64;-21;1.05;0.09;0.2;21.6;0.0;0.00;86446;22.32;38.77;0;0.0
18.60;0;2021-03-11 10:05:02.60;0.000000;0.000000;-17.00;0.00;0.00;0;45;-57;-31;1.15;0.10;0.4;21.6;0.0;0.00;86447;22.32;38.87;0;0.0
