# [HASH] 0004033:d271c42cd0d562b6c8fd2ad766895c9a2c3c75f140c7e002477121085b2ad8fb26880387cf0fc2fe8c042e37cb2b665583db42274975ec50866b94487c7ac117                                                                                                                                                                                                                                                                                                                                                                               
# [VV] SN:5WNGC_0012 HW:1.02pro FW:1.32
# [PILOTE] Jofresa
# [CALIB] 1.27
t;GNSS_fix;GNSS_time;GNSS_lat;GNSS_lon;GNSS_alt;GNSS_speed;GNSS_head;compass_head;pitch;roll;G_force;vario;DP;T_sensor;A0_cor_DP;A1_cor_DP;P_stat;air_T;air_RH;wind_origin;wind_vel
6.01;0;2021-03-07 00:00:05.80;0.000000;0.000000;-17.00;0.00;0;83;-38;-117;0.99;0.00;-0.3;9.5;0.0;0.00;846693;11.46;37.64;0;0.0
6.23;0;2021-03-07 00:00:06.00;0.000000;0.000000;-17.00;0.00;0;83;-36;-119;1.00;0.02;0.3;9.5;0.0;0.00;846690;11.46;37.62;0;0.0
6.41;0;2021-03-07 00:00:06.20;0.000000;0.000000;-17.00;0.00;0;93;-35;-116;0.98;-0.01;-0.3;9.5;0.0;0.00;846692;11.46;37.59;0;0.0
6.61;0;2021-03-07 00:00:06.40;0.000000;0.000000;-17.00;0.00;0;101;-36;-116;1.00;0.01;-0.0;9.5;0.0;0.00;846695;11.46;37.59;0;0.0
6.81;0;2021-03-07 00:00:06.60;0.000000;0.000000;-17.00;0.00;0;99;-42;-122;0.96;-0.04;-0.6;9.5;0.0;0.00;846697;11.47;37.58;0;0.0
7.01;0;2021-03-07 00:00:06.80;0.000000;0.000000;-17.00;0.00;0;104;-46;-127;0.96;-0.00;-0.6;9.5;0.0;0.00;846695;11.47;37.57;0;0.0
7.22;0;2021-03-07 00:00:07.00;0.000000;0.000000;-17.00;0.00;0;118;-49;-130;1.02;-0.03;-0.1;9.5;0.0;0.00;846697;11.47;37.57;0;0.0
7.40;0;2021-03-07 00:00:07.20;0.000000;0.000000;-17.00;0.00;0;131;-49;-131;0.88;-0.18;-1.1;9.5;0.0;0.00;846698;11.47;37.56;0;0.0
7.60;0;2021-03-07 00:00:07.40;0.000000;0.000000;-17.00;0.00;0;141;-43;-127;1.17;0.24;-0.7;9.5;0.0;0.00;846699;11.47;37.55;0;0.0
7.80;0;2021-03-07 00:00:07.60;0.000000;0.000000;-17.00;0.00;0;139;-27;-124;1.02;0.01;-0.5;9.5;0.0;0.00;846695;11.48;37.56;0;0.0
8.00;0;2021-03-07 00:00:07.80;0.000000;0.000000;-17.00;0.00;0;137;-26;-116;0.98;0.01;-0.3;9.5;0.0;0.00;846694;11.48;37.56;0;0.0
8.22;0;2021-03-07 00:00:08.00;0.000000;0.000000;-17.00;0.00;0;133;-27;-111;1.00;0.00;-0.6;9.5;0.0;0.00;846697;11.48;37.55;0;0.0
8.40;0;2021-03-07 00:00:08.20;0.000000;0.000000;-17.00;0.00;0;126;-27;-111;1.01;0.00;-0.5;9.5;0.0;0.00;846696;11.49;37.56;0;0.0
8.60;0;2021-03-07 00:00:08.40;0.000000;0.000000;-17.00;0.00;0;109;-28;-110;0.98;0.02;-1.1;9.5;0.0;0.00;846700;11.49;37.55;0;0.0
8.80;0;2021-03-07 00:00:08.60;0.000000;0.000000;-17.00;0.00;0;109;-33;-109;0.98;-0.08;-0.6;9.5;0.0;0.00;846697;11.49;37.58;0;0.0
9.00;0;2021-03-07 00:00:08.80;0.000000;0.000000;-17.00;0.00;0;117;-39;-113;1.04;0.02;-0.3;9.5;0.0;0.00;846694;11.49;37.59;0;0.0
9.23;0;2021-03-07 00:00:09.00;0.000000;0.000000;-17.00;0.00;0;133;-43;-124;1.01;0.00;-0.3;9.5;0.0;0.00;846694;11.50;37.58;0;0.0
9.41;0;2021-03-07 00:00:09.20;0.000000;0.000000;-17.00;0.00;0;135;-45;-124;0.94;-0.03;0.3;9.5;0.0;0.00;846697;11.49;37.58;0;0.0
9.61;0;2021-03-07 00:00:09.40;0.000000;0.000000;-17.00;0.00;0;138;-44;-131;1.03;-0.02;-0.0;9.5;0.0;0.00;846700;11.50;37.58;0;0.0
9.81;0;2021-03-07 00:00:09.60;0.000000;0.000000;-17.00;0.00;0;141;-43;-132;1.05;0.03;-0.1;9.5;0.0;0.00;846699;11.51;37.59;0;0.0
10.01;0;2021-03-07 00:00:09.80;0.000000;0.000000;-17.00;0.00;0;142;-44;-135;0.98;0.02;-0.2;9.5;0.0;0.00;846697;11.50;37.57;0;0.0
10.22;0;2021-03-07 00:00:10.00;0.000000;0.000000;-17.00;0.00;0;135;-43;-136;0.98;-0.01;-0.6;9.5;0.0;0.00;846699;11.51;37.58;0;0.0
10.40;0;2021-03-07 00:00:10.20;0.000000;0.000000;-17.00;0.00;0;126;-42;-135;1.00;-0.01;-0.2;9.5;0.0;0.00;846697;11.51;37.58;0;0.0
10.60;0;2021-03-07 00:00:10.40;0.000000;0.000000;-17.00;0.00;0;119;-42;-134;1.01;-0.01;-1.1;9.5;0.0;0.00;846701;11.52;37.60;0;0.0
10.80;0;2021-03-07 00:00:10.60;0.000000;0.000000;-17.00;0.00;0;110;-42;-135;0.98;-0.03;-0.7;9.5;0.0;0.00;846699;11.51;37.59;0;0.0
11.00;0;2021-03-07 00:00:10.80;0.000000;0.000000;-17.00;0.00;0;94;-42;-137;0.98;-0.04;-0.8;9.5;0.0;0.00;846700;11.52;37.58;0;0.0
11.22;0;2021-03-07 00:00:11.00;0.000000;0.000000;-17.00;0.00;0;84;-44;-133;1.00;-0.01;-0.3;9.5;0.0;0.00;846697;11.52;37.59;0;0.0
11.40;0;2021-03-07 00:00:11.20;0.000000;0.000000;-17.00;0.00;0;79;-44;-131;1.02;0.01;0.6;9.5;0.0;0.00;846690;11.52;37.57;0;0.0
11.60;0;2021-03-07 00:00:11.40;0.000000;0.000000;-17.00;0.00;0;77;-38;-123;1.02;0.04;0.1;9.5;0.0;0.00;846690;11.53;37.59;0;0.0
11.81;0;2021-03-07 00:00:11.60;0.000000;0.000000;-17.00;0.00;0;69;-39;-125;1.00;0.04;0.7;9.5;0.0;0.00;846687;11.52;37.59;0;0.0
12.01;0;2021-03-07 00:00:11.80;0.000000;0.000000;-17.00;0.00;0;67;-43;-123;0.93;-0.02;-0.5;9.5;0.0;0.00;846690;11.51;37.59;0;0.0
12.23;0;2021-03-07 00:00:12.00;0.000000;0.000000;-17.00;0.00;0;72;-46;-124;0.98;-0.03;-0.9;9.5;0.0;0.00;846697;11.52;37.61;0;0.0
