# [HASH] 0002121:365f008fe22ec1976cb84b021ca6d533de0db362cf3db0f55bb8316bfe41aaefba0cad8b548f80766961a7113cf6adee765677e1b5c19470974b5ec05642381c                                                                                                                                                                                                                                                                                                                                                                               
# [VV] SN:5WNGC_0024 HW:1.03pro FW:1.32b
# [PILOTE] Quentin 
t;GNSS_fix;GNSS_time;GNSS_lat;GNSS_lon;GNSS_alt;GNSS_speed;GNSS_head;compass_head;pitch;roll;G_force;vario;DP;T_sensor;A0_cor_DP;A1_cor_DP;P_stat;air_T;air_RH;wind_origin;wind_vel
6.00;0;2021-03-07 00:00:05.80;0.000000;0.000000;-17.00;0.00;0;92;-20;-56;1.00;0.00;2.4;16.9;0.0;0.00;898801;17.99;48.96;0;0.0
6.22;0;2021-03-07 00:00:06.00;0.000000;0.000000;-17.00;0.00;0;92;-23;-55;0.98;-0.02;2.8;16.9;0.0;0.00;898799;17.98;48.93;0;0.0
6.40;0;2021-03-07 00:00:06.20;0.000000;0.000000;-17.00;0.00;0;93;-26;-53;0.99;-0.02;3.2;16.9;0.0;0.00;898793;17.99;48.92;0;0.0
6.60;0;2021-03-07 00:00:06.40;0.000000;0.000000;-17.00;0.00;0;95;-25;-53;1.00;-0.01;2.6;16.9;0.0;0.00;898792;18.00;48.90;0;0.0
6.80;0;2021-03-07 00:00:06.60;0.000000;0.000000;-17.00;0.00;0;97;-24;-53;1.01;0.01;3.1;16.9;0.0;0.00;898794;17.99;48.89;0;0.0
7.00;0;2021-03-07 00:00:06.80;0.000000;0.000000;-17.00;0.00;0;111;-28;-51;0.95;-0.04;2.5;16.9;0.0;0.00;898793;18.00;48.87;0;0.0
7.22;0;2021-03-07 00:00:07.00;0.000000;0.000000;-17.00;0.00;0;120;-31;-47;0.99;-0.03;2.3;16.9;0.0;0.00;898795;18.00;48.87;0;0.0
7.40;0;2021-03-07 00:00:07.20;0.000000;0.000000;-17.00;0.00;0;124;-32;-48;1.00;-0.02;3.7;16.9;0.0;0.00;898795;18.00;48.88;0;0.0
7.60;0;2021-03-07 00:00:07.40;0.000000;0.000000;-17.00;0.00;0;121;-33;-48;1.00;-0.02;3.0;16.9;0.0;0.00;898793;18.00;48.89;0;0.0
7.80;0;2021-03-07 00:00:07.60;0.000000;0.000000;-17.00;0.00;0;120;-32;-48;1.00;-0.01;3.3;16.9;0.0;0.00;898791;18.01;48.90;0;0.0
