# [HASH] 0005387:4ceb1016f3c7c61e2ce13fd98a4c061891c14cb981e5f1f1a75361b3cf43b87bc6e0d39ddd86963f9c3fda6b042ebd2c8e6b2b8b0c913839836f1d607bccf8d2                                                                                                                                                                                                                                                                                                                                                                               
# [VV] SN:661TQ_0006 HW:1.03pro FW:2.00
# [PILOTE] 
# [CALIB] 1.28
t;GNSS_fix;GNSS_time;GNSS_lat;GNSS_lon;GNSS_alt;GNSS_speed;GNSS_velD;GNSS_head;compass_head;pitch;roll;G_force;vario;DP;T_sensor;A0_cor_DP;A1_cor_DP;P_stat;air_T;air_RH;wind_origin;wind_vel
6.01;0;2021-03-07 00:00:05.80;0.000000;0.000000;-17.00;0.00;0.00;0;271;56;71;0.93;252.69;-2.9;12.2;0.0;0.00;101154;14.39;65.80;0;0.0
6.21;0;2021-03-07 00:00:06.00;0.000000;0.000000;-17.00;0.00;0.00;0;260;49;94;1.05;0.14;-2.4;12.2;0.0;0.00;101154;14.39;65.81;0;0.0
6.40;0;2021-03-07 00:00:06.20;0.000000;0.000000;-17.00;0.00;0.00;0;254;44;97;1.00;0.17;-2.9;12.2;0.0;0.00;101155;14.40;65.78;0;0.0
6.60;0;2021-03-07 00:00:06.40;0.000000;0.000000;-17.00;0.00;0.00;0;258;41;92;1.00;0.17;-3.6;12.2;0.0;0.00;101155;14.41;65.77;0;0.0
6.80;0;2021-03-07 00:00:06.60;0.000000;0.000000;-17.00;0.00;0.00;0;254;41;94;1.02;0.20;-3.6;12.2;0.0;0.00;101155;14.42;65.80;0;0.0
7.00;0;2021-03-07 00:00:06.80;0.000000;0.000000;-17.00;0.00;0.00;0;259;40;94;1.03;0.23;-3.5;12.2;0.0;0.00;101155;14.43;65.81;0;0.0
7.22;0;2021-03-07 00:00:07.00;0.000000;0.000000;-17.00;0.00;0.00;0;257;41;96;1.01;0.23;-3.4;12.2;0.0;0.00;101155;14.43;65.87;0;0.0
7.40;0;2021-03-07 00:00:07.20;0.000000;0.000000;-17.00;0.00;0.00;0;261;42;94;1.02;0.22;-3.6;12.2;0.0;0.00;101155;14.44;65.96;0;0.0
7.61;0;2021-03-07 00:00:07.40;0.000000;0.000000;-17.00;0.00;0.00;0;263;44;95;0.99;0.19;-3.1;12.2;0.0;0.00;101155;14.44;66.07;0;0.0
7.81;0;2021-03-07 00:00:07.60;0.000000;0.000000;-17.00;0.00;0.00;0;267;47;93;1.01;0.15;-3.7;12.2;0.0;0.00;101155;14.44;66.18;0;0.0
8.00;0;2021-03-07 00:00:07.80;0.000000;0.000000;-17.00;0.00;0.00;0;267;49;95;1.05;0.15;-3.6;12.2;0.0;0.00;101155;14.44;66.28;0;0.0
8.22;0;2021-03-07 00:00:08.00;0.000000;0.000000;-17.00;0.00;0.00;0;263;49;95;1.04;0.20;-3.6;12.2;0.0;0.00;101155;14.45;66.39;0;0.0
8.40;0;2021-03-07 00:00:08.20;0.000000;0.000000;-17.00;0.00;0.00;0;261;49;92;0.98;0.12;-3.9;12.2;0.0;0.00;101155;14.45;66.50;0;0.0
8.60;0;2021-03-07 00:00:08.40;0.000000;0.000000;-17.00;0.00;0.00;0;254;50;95;0.95;0.00;-4.1;12.2;0.0;0.00;101155;14.46;66.59;0;0.0
8.81;0;2021-03-07 00:00:08.60;0.000000;0.000000;-17.00;0.00;0.00;0;270;48;95;1.12;0.14;-3.6;12.2;0.0;0.00;101155;14.46;66.64;0;0.0
8.99;0;2021-03-07 00:00:08.80;0.000000;0.000000;-17.00;0.00;0.00;0;285;51;90;0.91;-0.06;-3.4;12.2;0.0;0.00;101155;14.49;66.73;0;0.0
9.22;0;2021-03-07 00:00:09.00;0.000000;0.000000;-17.00;0.00;0.00;0;245;51;111;1.18;0.01;-3.1;12.2;0.0;0.00;101154;14.51;66.80;0;0.0
9.40;0;2021-03-07 00:00:09.20;0.000000;0.000000;-17.00;0.00;0.00;0;263;37;83;1.13;0.12;-2.9;12.2;0.0;0.00;101154;14.52;66.91;0;0.0
9.62;0;2021-03-07 07:06:07.44;0.000000;0.000000;-17.00;0.00;0.00;0;240;36;116;1.13;0.25;-3.4;12.2;0.0;0.00;101154;14.52;67.07;0;0.0
9.77;0;2021-03-07 07:06:07.60;0.000000;0.000000;-17.00;0.00;0.00;0;264;34;99;1.16;0.28;-3.7;12.2;0.0;0.00;101154;14.51;67.19;0;0.0
