# [HASH] 0007798:0723dd29b48d64ede98eedf21e5c82759432ac002223a0851e4247d770c460199af94f350e1122d6945ecfa7530f8279b6d9921072cc4ba3f381f6d352c2f206                                                                                                                                                                                                                                                                                                                                                                               
# [VV] SN:5WNGC_0012 HW:1.02pro FW:2.00f
# [PILOTE] Jofresa
# [CALIB] 1.29
t;GNSS_fix;GNSS_time;GNSS_lat;GNSS_lon;GNSS_alt;GNSS_speed;GNSS_velD;GNSS_head;compass_head;pitch;roll;G_force;vario;DP;T_sensor;A0_cor_DP;A1_cor_DP;P_stat;air_T;air_RH;wind_origin;wind_vel
9.79;0;2021-03-12 08:59:14.80;0.000000;0.000000;-17.00;0.00;0.00;0;305;-49;9;1.02;-210.27;-363.9;17.0;0.0;0.00;85733;17.06;54.15;0;0.0
23.45;0;2026-05-08 08:59:28.20;0.000000;0.000000;-17.00;0.00;0.00;0;303;-59;13;1.01;-226.67;-327.5;17.0;0.0;0.00;85732;17.26;54.19;0;0.0
23.57;0;2026-05-08 08:59:28.60;0.000000;0.000000;-17.00;0.00;0.00;0;299;-57;52;1.00;48.88;-215.3;17.1;0.0;0.00;85730;17.86;53.46;0;0.0
23.67;0;2026-05-08 08:59:28.70;0.000000;0.000000;-17.00;0.00;0.00;0;289;-38;98;1.00;362.86;-127.8;17.1;0.0;0.00;85729;18.15;53.46;0;0.0
23.76;0;2026-05-08 08:59:28.80;0.000000;0.000000;-17.00;0.00;0.00;0;285;-27;106;1.02;588.54;-84.3;17.1;0.0;0.00;85724;18.24;53.43;0;0.0
23.86;0;2026-05-08 08:59:28.90;0.000000;0.000000;-17.00;0.00;0.00;0;285;-20;128;1.01;837.90;-49.6;17.1;0.0;0.00;85724;18.29;53.44;0;0.0
23.98;0;2026-05-08 08:59:29.00;0.000000;0.000000;-17.00;0.00;0.00;0;284;-16;148;1.00;1089.06;-26.3;17.1;0.0;0.00;85724;18.31;53.44;0;0.0
24.07;0;2026-05-08 08:59:29.10;0.000000;0.000000;-17.00;0.00;0.00;0;284;-13;155;1.00;1227.45;-17.1;17.1;0.0;0.00;85724;18.32;53.43;0;0.0
24.16;0;2026-05-08 08:59:29.20;0.000000;0.000000;-17.00;0.00;0.00;0;284;-12;160;1.00;1342.78;-10.9;17.1;0.0;0.00;85724;18.32;53.42;0;0.0
24.26;0;2026-05-08 08:59:29.30;0.000000;0.000000;-17.00;0.00;0.00;0;285;-12;163;1.00;1455.90;-6.3;17.1;0.0;0.00;85723;18.32;53.43;0;0.0
24.37;0;2026-05-08 08:59:29.40;0.000000;0.000000;-17.00;0.00;0.00;0;284;-11;166;1.00;1535.44;-3.6;17.1;0.0;0.00;85723;18.32;53.39;0;0.0
24.45;0;2026-05-08 08:59:29.50;0.000000;0.000000;-17.00;0.00;0.00;0;285;-11;167;1.00;1576.73;-2.7;17.1;0.0;0.00;85723;18.33;53.38;0;0.0
24.56;0;2026-05-08 08:59:29.60;0.000000;0.000000;-17.00;0.00;0.00;0;285;-11;167;1.00;1601.53;-1.9;17.1;0.0;0.00;85723;18.33;53.36;0;0.0
24.67;0;2026-05-08 08:59:29.70;0.000000;0.000000;-17.00;0.00;0.00;0;284;-11;168;1.00;1599.91;-1.0;17.1;0.0;0.00;85724;18.34;53.33;0;0.0
24.75;0;2026-05-08 08:59:29.80;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;168;1.00;1580.85;-0.8;17.1;0.0;0.00;85724;18.34;53.37;0;0.0
24.86;0;2026-05-08 08:59:29.90;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;168;1.00;1537.28;-0.6;17.1;0.0;0.00;85724;18.35;53.33;0;0.0
24.97;0;2026-05-08 08:59:30.00;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;168;1.00;1474.08;-0.5;17.1;0.0;0.00;85724;18.34;53.30;0;0.0
25.07;0;2026-05-08 08:59:30.10;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;169;1.00;1393.84;-1.0;17.1;0.0;0.00;85724;18.34;53.32;0;0.0
25.18;0;2026-05-08 08:59:30.20;0.000000;0.000000;-17.00;0.00;0.00;0;283;-10;169;1.00;1300.25;-0.4;17.1;0.0;0.00;85724;18.35;53.30;0;0.0
25.27;0;2026-05-08 08:59:30.30;0.000000;0.000000;-17.00;0.00;0.00;0;283;-10;169;1.00;1217.23;-0.1;17.1;0.0;0.00;85724;18.35;53.31;0;0.0
25.37;0;2026-05-08 08:59:30.40;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;169;1.00;1105.88;-0.8;17.1;0.0;0.00;85724;18.35;53.28;0;0.0
25.48;0;2026-05-08 08:59:30.50;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;169;1.00;988.10;-0.4;17.1;0.0;0.00;85724;18.35;53.28;0;0.0
25.57;0;2026-05-08 08:59:30.60;0.000000;0.000000;-17.00;0.00;0.00;0;283;-10;169;1.00;890.53;-0.2;17.1;0.0;0.00;85724;18.36;53.26;0;0.0
25.67;0;2026-05-08 08:59:30.70;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;169;1.00;766.84;0.6;17.1;0.0;0.00;85723;18.36;53.23;0;0.0
25.78;0;2026-05-08 08:59:30.80;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;169;1.00;643.63;0.5;17.1;0.0;0.00;85723;18.36;53.21;0;0.0
25.87;0;2026-05-08 08:59:30.90;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;169;1.00;546.10;0.6;17.1;0.0;0.00;85723;18.35;53.17;0;0.0
25.97;0;2026-05-08 08:59:31.00;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;169;1.00;427.50;-0.3;17.1;0.0;0.00;85723;18.36;53.19;0;0.0
26.08;0;2026-05-08 08:59:31.10;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;169;1.00;313.79;0.0;17.1;0.0;0.00;85723;18.37;53.16;0;0.0
26.18;0;2026-05-08 08:59:31.20;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;169;1.00;206.29;-0.3;17.1;0.0;0.00;85723;18.37;53.14;0;0.0
26.27;0;2026-05-08 08:59:31.30;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;125.46;-0.5;17.1;0.0;0.00;85724;18.37;53.13;0;0.0
26.37;0;2026-05-08 08:59:31.40;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;170;1.00;31.56;-0.9;17.1;0.0;0.00;85724;18.37;53.14;0;0.0
26.48;0;2026-05-08 08:59:31.50;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-53.78;-0.7;17.1;0.0;0.00;85724;18.37;53.13;0;0.0
26.58;0;2026-05-08 08:59:31.60;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;170;1.00;-130.10;-0.3;17.1;0.0;0.00;85724;18.38;53.10;0;0.0
26.67;0;2026-05-08 08:59:31.70;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;170;1.00;-184.48;-0.7;17.1;0.0;0.00;85724;18.38;53.08;0;0.0
26.77;0;2026-05-08 08:59:31.80;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-243.91;-0.8;17.1;0.0;0.00;85724;18.38;53.03;0;0.0
26.88;0;2026-05-08 08:59:31.90;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-294.00;-0.8;17.1;0.0;0.00;85724;18.38;53.02;0;0.0
26.98;0;2026-05-08 08:59:32.00;0.000000;0.000000;-17.00;0.00;0.00;0;286;-10;170;1.00;-334.73;-0.2;17.1;0.0;0.00;85724;18.38;53.04;0;0.0
27.07;0;2026-05-08 08:59:32.10;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-360.91;-0.4;17.1;0.0;0.00;85724;18.39;53.01;0;0.0
27.17;0;2026-05-08 08:59:32.20;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-385.67;-0.4;17.1;0.0;0.00;85724;18.39;53.00;0;0.0
27.28;0;2026-05-08 08:59:32.30;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-402.24;0.2;17.1;0.0;0.00;85724;18.40;53.00;0;0.0
27.38;0;2026-05-08 08:59:32.40;0.000000;0.000000;-17.00;0.00;0.00;0;286;-10;170;1.00;-411.20;1.2;17.1;0.0;0.00;85723;18.39;52.96;0;0.0
27.47;0;2026-05-08 08:59:32.50;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;170;1.00;-413.13;0.9;17.1;0.0;0.00;85723;18.40;52.94;0;0.0
27.58;0;2026-05-08 08:59:32.60;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;170;1.00;-409.27;-0.4;17.1;0.0;0.00;85723;18.40;52.94;0;0.0
27.67;0;2026-05-08 08:59:32.70;0.000000;0.000000;-17.00;0.00;0.00;0;284;-10;170;1.00;-401.86;-1.2;17.1;0.0;0.00;85723;18.40;52.94;0;0.0
27.78;0;2026-05-08 08:59:32.80;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;170;1.00;-387.88;-0.6;17.1;0.0;0.00;85723;18.40;52.92;0;0.0
27.88;0;2026-05-08 08:59:32.90;0.000000;0.000000;-17.00;0.00;0.00;0;286;-11;170;1.00;-369.26;-0.8;17.1;0.0;0.00;85724;18.40;52.91;0;0.0
27.97;0;2026-05-08 08:59:33.00;0.000000;0.000000;-17.00;0.00;0.00;0;285;-11;169;1.00;-351.50;-0.2;17.1;0.0;0.00;85724;18.40;52.91;0;0.0
28.08;0;2026-05-08 08:59:33.10;0.000000;0.000000;-17.00;0.00;0.00;0;286;-11;169;1.00;-326.37;0.0;17.1;0.0;0.00;85724;18.40;52.90;0;0.0
28.18;0;2026-05-08 08:59:33.20;0.000000;0.000000;-17.00;0.00;0.00;0;286;-11;169;1.00;-298.59;-0.3;17.1;0.0;0.00;85724;18.40;52.87;0;0.0
28.27;0;2026-05-08 08:59:33.30;0.000000;0.000000;-17.00;0.00;0.00;0;286;-11;169;0.99;-274.92;-0.5;17.1;0.0;0.00;85724;18.41;52.90;0;0.0
28.37;0;2026-05-08 08:59:33.40;0.000000;0.000000;-17.00;0.00;0.00;0;286;-11;169;1.00;-244.12;-0.4;17.1;0.0;0.00;85724;18.41;52.80;0;0.0
28.48;0;2026-05-08 08:59:33.50;0.000000;0.000000;-17.00;0.00;0.00;0;286;-10;169;1.01;-212.49;-0.1;17.1;0.0;0.00;85724;18.42;52.84;0;0.0
28.57;0;2026-05-08 08:59:33.60;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;169;1.01;-187.07;-0.5;17.1;0.0;0.00;85724;18.42;52.81;0;0.0
28.67;0;2026-05-08 08:59:33.70;0.000000;0.000000;-17.00;0.00;0.00;0;285;-11;169;1.00;-155.42;-0.5;17.1;0.0;0.00;85724;18.42;52.82;0;0.0
28.78;0;2026-05-08 08:59:33.80;0.000000;0.000000;-17.00;0.00;0.00;0;285;-11;169;1.00;-124.49;-0.5;17.1;0.0;0.00;85724;18.42;52.79;0;0.0
28.87;0;2026-05-08 08:59:33.90;0.000000;0.000000;-17.00;0.00;0.00;0;286;-11;169;1.00;-100.40;-0.3;17.1;0.0;0.00;85724;18.42;52.80;0;0.0
28.98;0;2026-05-08 08:59:34.00;0.000000;0.000000;-17.00;0.00;0.00;0;285;-10;169;1.00;-71.54;-0.1;17.1;0.0;0.00;85724;18.42;52.77;0;0.0
